keyword|title
蔡英文|蔡英文批陸「哪來一家親」 柯文哲：有芥蒂講什麼都沒用
總統|蔡英文批陸「哪來一家親」 柯文哲：有芥蒂講什麼都沒用
柯文哲|蔡英文批陸「哪來一家親」 柯文哲：有芥蒂講什麼都沒用
兩岸一家親|蔡英文批陸「哪來一家親」 柯文哲：有芥蒂講什麼都沒用
非洲豬瘟|蔡英文批陸「哪來一家親」 柯文哲：有芥蒂講什麼都沒用
防疫|蔡英文批陸「哪來一家親」 柯文哲：有芥蒂講什麼都沒用
談話|蔡英文批陸「哪來一家親」 柯文哲：有芥蒂講什麼都沒用
疫情|蔡英文批陸「哪來一家親」 柯文哲：有芥蒂講什麼都沒用
吳敦義|馬英九台南升旗 阿嬤誤把謝龍介認成馬
張善政|馬英九台南升旗 阿嬤誤把謝龍介認成馬
國民黨|馬英九台南升旗 阿嬤誤把謝龍介認成馬
元旦|馬英九台南升旗 阿嬤誤把謝龍介認成馬
馬英九|馬英九台南升旗 阿嬤誤把謝龍介認成馬
時間|馬英九台南升旗 阿嬤誤把謝龍介認成馬
謝龍介2020藍綠前哨戰 |馬英九台南升旗 阿嬤誤把謝龍介認成馬
天王|馬英九台南升旗 阿嬤誤把謝龍介認成馬
元旦|角逐2020？王金平想胡牌 柯撇不懂麻將
柯文哲|角逐2020？王金平想胡牌 柯撇不懂麻將
王金平|角逐2020？王金平想胡牌 柯撇不懂麻將
我們|角逐2020？王金平想胡牌 柯撇不懂麻將
健走2020藍綠前哨戰 |角逐2020？王金平想胡牌 柯撇不懂麻將
健走|角逐2020？王金平想胡牌 柯撇不懂麻將
合作|角逐2020？王金平想胡牌 柯撇不懂麻將
兩岸|習近平新年賀詞 「港澳台」同胞改成「大家」
台灣|習近平新年賀詞 「港澳台」同胞改成「大家」
大陸|習近平新年賀詞 「港澳台」同胞改成「大家」
國台辦|習近平新年賀詞 「港澳台」同胞改成「大家」
國家主席|習近平新年賀詞 「港澳台」同胞改成「大家」
同胞|習近平新年賀詞 「港澳台」同胞改成「大家」
台灣同胞書|習近平新年賀詞 「港澳台」同胞改成「大家」
